name,price,barcode,unit,sku
Smart Fan Iron Cooker Go Wireless Portable,585.00,3968600833473,,54
Fan,992.00,0191126950284,,49
Smart Speakerphone Charger Eco Plus Clean,940.00,7569143820621,,42
Premium Grill Trimmer Portable,324.00,2705140928037,,93
Keyboard Freezer,908.00,9830391008108,,91
Smart Fridge Plus,627.00,3039245054025,,29
Compact Dock One Portable Wireless,385.00,6194768427002,,23
Premium Cooler Digital Portable X,296.00,6978363826350,,6
Compact Fan Scooter Headphones,870.00,2666733210512,,6
Eco Dock Air,602.00,3726212774009,,11
Thermostat Stove Lamp,707.00,6886778382210,,33
Mini Powerbank Lite Plus,499.00,9632709420387,,22
Scooter Bicycle Oven,79.00,0227867819631,,58
Fan,897.00,1326983446208,,67
Wireless Light Heater Clock X,581.00,4749136042046,,84
Ultra Powerbank Scale Automatic,223.00,6282374002499,,93
Projector,699.00,3359907564212,,89
Blender,881.00,2045936905300,,83
Wireless Speakerphone Oven Advanced,601.00,4270229099796,,76
Iron Microphone,261.00,1846205234548,,45
Lock,350.00,0651020229713,,22
Automatic Speaker Wireless Plus Edge,726.00,8872341006131,,69
Eco Treadmill Plus Smart,756.00,3581173655015,,65
Smart Microphone Clock Ultra One,17.00,8108499855216,,1
Digital Router Scanner One,257.00,3287425624081,,27
Pro Stove Light,263.00,3636002675846,,4
Clean Mixer Ultra Eco,951.00,7547662604151,,33
Ultra Fan,931.00,6232473294448,,2
Ultra Drone Smart,809.00,0194012822726,,25
Smart Lock Mini Pro,989.00,9292256940884,,91
Rechargeable Keyboard Toaster Monitor Portable Fast,962.00,1884257734807,,24
Mini Mixer Freezer Trimmer Smart,399.00,0358170616393,,36
Heater Cooker,285.00,4811472870604,,40
Fast Shaver X One,894.00,0631386626401,,92
Wireless Webcam Bicycle Camera,141.00,0607700002091,,72
Clean Scale Speaker Powerbank Clean Wireless,308.00,6988842313004,,35
Advanced Fan Powerbank,711.00,5796764564586,,89
Pro Thermostat Speaker Touch Eco,865.00,7535096642818,,57
Fast Blender Treadmill Tablet One Air,409.00,5314300563345,,35
Automatic Iron Toaster Projector,787.00,9338080255944,,13
Smart Scale Stove,334.00,9990041184672,,10
Smart Webcam Mouse Digital,830.00,8985787888893,,92
Compact Drone Lite,339.00,0512595115903,,20
Digital Scale Wireless One Portable,128.00,6358706879234,,86
Clean Drone Thermostat Headphones,716.00,2864500397712,,40
Wireless Scooter,625.00,4771208434411,,1
Clean Light Advanced Smart Premium,485.00,3353269497386,,55
Compact Fan Iron Clock Digital,526.00,3674615714477,,11
Ultra Watch Eco,703.00,5786160872088,,17
Fast Lamp Scanner Vacuum,363.00,4598210880599,,60
Eco Stove Edge,52.00,1925515729316,,86
Fast Powerbank Radio Automatic Touch Ultra,685.00,1419539240556,,76
Pro Oven Scale,150.00,5047126002551,,24
Smart Printer Charger Brush Smart Ultra Touch,312.00,9297742472047,,65
Wireless Watch Premium Air,673.00,5327358796184,,39
Advanced Thermostat Microphone Scooter Clean Smart,425.00,0673364369078,,28
Pro Mouse Mini Rechargeable,478.00,3054066626701,,68
Silent Powerbank Radio Smart Plus,871.00,5772715035664,,75
Clean Speakerphone Edge Rechargeable Max,196.00,9822542327121,,77
Silent Heater Stove Scanner,747.00,1263475720975,,30
Smart Mixer Bicycle Fridge,63.00,8041785529098,,82
Smart Freezer Clean,361.00,5109263445780,,23
Automatic Blender Toaster Camera,329.00,5161284787010,,66
Premium Mouse Lamp Ultra Touch Compact,38.00,5153484969624,,46
Ultra Drone Wireless Go Clean,119.00,9613973317726,,84
Smart Monitor Cooler Dock Automatic Lite Prime,379.00,6890202499702,,47
Automatic Fridge Freezer,918.00,7998660897333,,1
Rechargeable Router Keyboard,242.00,2863748603180,,14
Digital Microphone Camera,71.00,3272423264049,,3
Smart Stove Iron,689.00,0761286910840,,4
Ultra Treadmill,65.00,7977249259236,,18
Mini Shaver Mouse Fast Mini X,84.00,3570230765743,,53
Wireless Fridge Cooker Portable Edge,712.00,6944904013299,,83
Fan Iron Cooker,795.00,5139271989938,,41
Eco Fridge Printer Mouse,367.00,1631900897637,,73
Wireless Scanner Tablet Radio,594.00,4697368151459,,99
Pro Stove Light Air Mini,976.00,8439220109668,,18
Shaver,955.00,7444904942852,,11
Smart Grill Trimmer,787.00,6855621726839,,10
Portable Vacuum Printer Go,321.00,9824059449136,,98
Projector,556.00,7629500644465,,81
Compact Powerbank Radio,551.00,2986694250021,,89
Pro Freezer Prime,713.00,4547536554059,,57
Digital Printer Webcam Wireless Edge Air,200.00,9730310602717,,87
Trimmer Cooler,862.00,2617594893505,,86
Portable Projector Portable Air,560.00,0533350984435,,63
Portable Powerbank,766.00,9090165135243,,87
Smart Lock Premium,452.00,4520822883545,,85
Automatic Printer Premium,472.00,5364368037098,,61
Eco Trimmer Touch,566.00,8479741829249,,39
Compact Powerbank Radio Lite Digital Digital,455.00,7242294927431,,27
Automatic Vacuum Fan,264.00,9657890857804,,17
Digital Iron Heater 360 Clean Edge,65.00,4795373245672,,60
Silent Scanner Mouse Digital Edge,711.00,3621597259700,,15
Silent Freezer Projector Webcam,717.00,8309548019669,,98
Clean Monitor Light Plus,668.00,7586501720683,,84
Rechargeable Freezer Powerbank Watch Wireless Rechargeable Prime,411.00,0917441923631,,55
Rechargeable Mixer Drone Fan Sense Wireless,784.00,8807432053671,,82
Wireless Brush,330.00,1245607220621,,72
Pro Trimmer Cooler,43.00,3636306557367,,5
Wireless Heater Compact,414.00,1900149128667,,65
Fast Grill Grill,759.00,1554765282359,,2
Premium Printer Fan Pro Compact,363.00,8155607097969,,69
Light,733.00,6426532341796,,97
Automatic Clock Lock 360 Premium,503.00,8981593141757,,61
Wireless Powerbank Iron Brush Pro Clean,504.00,7705334866829,,78
Mixer Toaster Toaster,704.00,2571968504339,,81
Wireless Oven Trimmer,863.00,9816898799480,,90
Fast Headphones Stove Rechargeable Clean,799.00,5985873550706,,54
Compact Heater Stove Scanner Rechargeable Silent Compact,12.00,8619764312322,,56
Compact Watch Microphone Microphone,379.00,0619438423864,,53
Rechargeable Lamp X,475.00,1406635203288,,40
Pro Cooler Vacuum Go Ultra,70.00,5676045830626,,12
Fridge Camera,61.00,1985806315963,,48
Smart Microphone Headphones Sense,802.00,8638301856372,,7
Light Toaster,940.00,6922521586174,,90
Dock Router Webcam,254.00,8769140760398,,50
Wireless Projector Freezer,848.00,2307563957221,,51
Smart Watch Headphones Kettle,519.00,6841572733125,,96
Silent Radio Prime Portable Automatic,357.00,0502358641695,,47
Compact Projector Brush Clean,29.00,5188496450488,,35
Smart Freezer,470.00,4404596100858,,67
Ultra Lamp Freezer Lite Ultra Rechargeable,924.00,8563672155765,,51
Pro Lamp Freezer Sense Edge,691.00,5237663617855,,40
Wireless Powerbank Plus,577.00,6899997271265,,67
Digital Vacuum Rechargeable X Wireless,797.00,7939271204776,,89
Stove Iron,146.00,9960111119538,,93
Mini Fan Max Wireless Wireless,918.00,2270517170529,,83
Automatic Heater Cooker Edge,136.00,9178025767169,,60
Thermostat Oven,520.00,5016609231412,,20
Dock,207.00,3032791705779,,87
Compact Heater Go Plus Smart,307.00,5786137159211,,86
Eco Thermostat Oven Eco Go Edge,801.00,1164885209480,,94
Advanced Projector Oven Thermostat Premium,220.00,8310853657989,,75
Ultra Grill Grill Scale Rechargeable,628.00,0330571958982,,79
Premium Camera Fast Ultra Go,362.00,8625606414222,,9
Wireless Watch Go Max Prime,864.00,1829752489821,,87
Smart Heater Clean Edge,272.00,7974376745595,,14
Bicycle Scooter,672.00,9186085568022,,2
Rechargeable Treadmill Dock,446.00,8657118739517,,29
Advanced Cooker,899.00,6667110304646,,57
Smart Trimmer Clock Automatic Rechargeable,376.00,6710130019493,,8
Kettle,481.00,0113458743754,,95
Projector Oven Thermostat,990.00,7471406535916,,72
Silent Watch Mini Advanced,546.00,0769343815572,,51
Digital Radio Radio Air Lite,39.00,0742006872808,,6
Premium Fan Premium,832.00,9846275804254,,97
Vacuum,931.00,2444639785453,,29
Portable Camera Vacuum Automatic Sense,337.00,4991793417914,,68
Advanced Iron Cooler Iron Pro,26.00,8020902551549,,40
Fast Tablet Blender,192.00,1453611015946,,20
Eco Scale Speaker Powerbank 360,655.00,8745776724966,,66
Silent Brush Scanner Automatic Max Sense,619.00,5541628382833,,64
Wireless Trimmer Stove Fast,400.00,2891841482463,,43
Silent Treadmill 360 Wireless One,797.00,8947674260922,,94
Smart Freezer Lite,649.00,3727053020553,,46
Compact Keyboard Speaker Portable Silent,283.00,4231898424654,,11
Pro Scale Toaster 360 Lite,426.00,6930173055979,,30
Smart Powerbank Router Silent,735.00,3727550840333,,26
Compact Lock Thermostat Silent Prime Automatic,36.00,1361258006916,,83
Ultra Clock Lock One One,709.00,1253674016658,,35
Smart Mixer Grill Automatic Air,145.00,6913151520676,,90
Smart Fan Powerbank 360 Advanced,903.00,7277229175489,,81
Eco Iron Thermostat 360,822.00,4543809032415,,15
Ultra Cooker,946.00,1475170267444,,48
Thermostat Speaker,745.00,8759302405878,,17
Eco Tablet Microphone Trimmer,663.00,7405610029824,,15
Automatic Webcam Powerbank Plus Pro,903.00,4978866545002,,47
Premium Speaker Keyboard One,234.00,9097177895295,,2
Smart Charger Mini Smart,990.00,6113291224728,,38
Premium Freezer Go Wireless One,420.00,4553708537683,,44
Silent Fan Premium Rechargeable,44.00,2769181071244,,67
Lamp Scanner Vacuum,668.00,1846697315411,,37
Pro Shaver Grill Premium,677.00,6108105710719,,1
Advanced Dock Automatic Silent Portable,563.00,1743619969434,,23
Digital Router Keyboard Portable,117.00,9402355839860,,20
Eco Tablet Cooler Fridge Ultra Wireless Mini,172.00,3960027897854,,67
Fast Oven Trimmer 360 Go Sense,687.00,5701284032125,,78
Eco Vacuum Fan Silent Mini,823.00,9709644646629,,25
Rechargeable Speakerphone Advanced Air,518.00,3140235931476,,57
Portable Speakerphone,444.00,9205621303108,,75
Rechargeable Freezer,900.00,9883555701131,,36
Smart Charger Stove Watch Advanced,753.00,2223525189731,,60
Automatic Router X Advanced,259.00,4428135073878,,87
Speakerphone,124.00,7627406577702,,22
Portable Mouse Speaker Cooler Digital Premium Air,3.00,2817279046299,,31
Automatic Drone Clean,186.00,2329348322666,,30
Wireless Webcam Mouse Silent,725.00,0828432092925,,16
Wireless Heater Mixer Shaver One Mini Compact,292.00,9349307589230,,5
Heater,429.00,6633675192004,,9
Smart Brush Touch Smart Fast,765.00,2679446441784,,70
Premium Scooter Dock Shaver Advanced Smart Go,518.00,8258374525328,,72
Heater,248.00,4462259172710,,75
Compact Powerbank Iron Brush One Lite 360,589.00,4074645566739,,95
Freezer Powerbank Watch,180.00,4731981423804,,84
Ultra Fridge Camera Rechargeable,456.00,1837225956923,,85
Eco Lock Smart Smart Wireless,516.00,3092102166842,,21
Pro Powerbank Projector,19.00,7280631221187,,57
Advanced Brush,836.00,0270226149894,,67
Clean Camera Bicycle Speakerphone,752.00,0414340892315,,54
Digital Mouse Pro Mini,553.00,2029271816644,,96
