id,install_id,event_type,occurred_at,payload_json,created_at,run_id,last_activity_at,last_activity_source
87a7ab14-7516-45b6-aa56-6b9995ce1066,dcabe96b-5894-4b91-9a0b-3e99811e82d6,app_launch,2026-04-19 03:14:16.400320,"{""type"":""app_launch"",""install_id"":""dcabe96b-5894-4b91-9a0b-3e99811e82d6"",""app_version"":""1.3.2"",""timestamp"":""2026-04-19T03:14:16.1323463Z"",""windows_version"":""Microsoft Windows 10.0.26100"",""os_architecture"":""X64"",""dotnet_runtime_version"":"".NET 8.0.26"",""ram_bucket"":""16-32GB"",""cpu_core_bucket"":""5-8 Cores"",""screen_resolution_bucket"":""1366x768"",""build_number"":""1200"",""release_channel"":""production"",""first_run_at"":""2026-04-15T20:45:54.2781483Z"",""last_seen_at"":""2026-04-19T03:14:16.1342072Z"",""days_since_install"":""4"",""days_since_last_seen"":""0"",""country_setting"":""EG"",""currency_setting"":""USD"",""startup_time_bucket_ms"":""1000-2000"",""feature_flags"":[""new_checkout"",""tax_inclusive""],""last_update_prompt_at"":null,""last_update_installed_at"":null,""crash_count"":1,""internet_status"":true,""app_launched_count"":11}",2026-04-19T03:14:16.420682+00:00,,,
d672e8ac-3fb0-421c-b755-27b57cd56724,3f5881d3-a87f-4ec9-ba3f-138ddb696541,app_launch,2026-04-19 03:14:39.613904,"{""type"":""app_launch"",""install_id"":""3f5881d3-a87f-4ec9-ba3f-138ddb696541"",""app_version"":""1.3.2"",""timestamp"":""2026-04-19T03:14:39.3700286Z"",""windows_version"":""Microsoft Windows 10.0.26100"",""os_architecture"":""X64"",""dotnet_runtime_version"":"".NET 8.0.26"",""ram_bucket"":""16-32GB"",""cpu_core_bucket"":""5-8 Cores"",""screen_resolution_bucket"":""1366x768"",""build_number"":""1200"",""release_channel"":""production"",""first_run_at"":""2026-04-19T03:14:38.1038780Z"",""last_seen_at"":""2026-04-19T03:14:39.3712260Z"",""days_since_install"":""0"",""days_since_last_seen"":""0"",""country_setting"":""EG"",""currency_setting"":""USD"",""startup_time_bucket_ms"":""1000-2000"",""feature_flags"":[""new_checkout"",""tax_inclusive""],""last_update_prompt_at"":null,""last_update_installed_at"":null,""crash_count"":0,""internet_status"":true,""app_launched_count"":1}",2026-04-19T03:14:39.637793+00:00,,,
08c2844d-6cc3-4748-a3a7-e1b1ba1bb2bd,e72fd18b-fdbb-4772-8bfa-edfb13fcdf67,app_launch,2026-04-19 09:58:54.875380,"{""type"":""app_launch"",""install_id"":""e72fd18b-fdbb-4772-8bfa-edfb13fcdf67"",""app_version"":""1.3.2"",""timestamp"":""2026-04-19T09:58:54.1876890Z"",""windows_version"":""Microsoft Windows 10.0.26200"",""os_architecture"":""X64"",""dotnet_runtime_version"":"".NET 8.0.26"",""ram_bucket"":""4-8GB"",""cpu_core_bucket"":""5-8 Cores"",""screen_resolution_bucket"":""1920x1080"",""build_number"":""1200"",""release_channel"":""production"",""first_run_at"":""2026-04-19T09:58:51.1101559Z"",""last_seen_at"":""2026-04-19T09:58:54.3423549Z"",""days_since_install"":""0"",""days_since_last_seen"":""0"",""country_setting"":""MK"",""currency_setting"":""USD"",""startup_time_bucket_ms"":""1000-2000"",""feature_flags"":[""new_checkout"",""tax_inclusive""],""last_update_prompt_at"":null,""last_update_installed_at"":null,""crash_count"":0,""internet_status"":true,""app_launched_count"":1}",2026-04-19T09:58:57.367576+00:00,,,
03ce4420-f6bd-4dd8-9c5c-4c32c1e80dd5,595616f9-7b3f-4c1a-9ce6-1e72ec04bc25,app_launch,2026-04-19 14:35:15.300762,"{""type"":""app_launch"",""install_id"":""595616f9-7b3f-4c1a-9ce6-1e72ec04bc25"",""app_version"":""1.3.2"",""timestamp"":""2026-04-19T14:35:15.1233130Z"",""windows_version"":""Microsoft Windows 10.0.26200"",""os_architecture"":""X64"",""dotnet_runtime_version"":"".NET 8.0.24"",""ram_bucket"":""4-8GB"",""cpu_core_bucket"":""5-8 Cores"",""screen_resolution_bucket"":""1920x1080"",""build_number"":""1200"",""release_channel"":""production"",""first_run_at"":""2026-04-19T14:35:12.7445735Z"",""last_seen_at"":""2026-04-19T14:35:15.1242857Z"",""days_since_install"":""0"",""days_since_last_seen"":""0"",""country_setting"":""BG"",""currency_setting"":""BGN"",""startup_time_bucket_ms"":""1000-2000"",""feature_flags"":[""new_checkout"",""tax_inclusive""],""last_update_prompt_at"":null,""last_update_installed_at"":null,""crash_count"":0,""internet_status"":true,""app_launched_count"":1}",2026-04-19T14:35:15.311747+00:00,,,
beeedc33-85ce-45c4-a3b6-001b6afe5d80,dcabe96b-5894-4b91-9a0b-3e99811e82d6,app_launch,2026-04-16 08:32:19.463106,"{""type"":""app_launch"",""install_id"":""dcabe96b-5894-4b91-9a0b-3e99811e82d6"",""app_version"":""1.3.2"",""timestamp"":""2026-04-16T08:32:19.1737553Z"",""windows_version"":""Microsoft Windows 10.0.26100"",""os_architecture"":""X64"",""dotnet_runtime_version"":"".NET 8.0.26"",""ram_bucket"":""16-32GB"",""cpu_core_bucket"":""5-8 Cores"",""screen_resolution_bucket"":""1366x768"",""build_number"":""1200"",""release_channel"":""production"",""first_run_at"":""2026-04-15T20:45:54.2781483Z"",""last_seen_at"":""2026-04-16T08:32:19.1768153Z"",""country_setting"":""EG"",""currency_setting"":""USD"",""startup_time_bucket_ms"":""1000-2000"",""feature_flags"":[""new_checkout"",""tax_inclusive""],""last_update_prompt_at"":null,""last_update_installed_at"":null,""crash_count"":1,""internet_status"":true,""app_launched_count"":1}",2026-04-16T08:32:19.510173+00:00,,,
7312ced7-35c5-40bb-bf24-33f2ddcef3e1,dcabe96b-5894-4b91-9a0b-3e99811e82d6,app_launch,2026-04-16 08:46:21.958248,"{""type"":""app_launch"",""install_id"":""dcabe96b-5894-4b91-9a0b-3e99811e82d6"",""app_version"":""1.3.2"",""timestamp"":""2026-04-16T08:46:21.5903809Z"",""windows_version"":""Microsoft Windows 10.0.26100"",""os_architecture"":""X64"",""dotnet_runtime_version"":"".NET 8.0.26"",""ram_bucket"":""16-32GB"",""cpu_core_bucket"":""5-8 Cores"",""screen_resolution_bucket"":""1366x768"",""build_number"":""1200"",""release_channel"":""production"",""first_run_at"":""2026-04-15T20:45:54.2781483Z"",""last_seen_at"":""2026-04-16T08:46:21.5940220Z"",""days_since_install"":""1"",""days_since_last_seen"":""0"",""country_setting"":""EG"",""currency_setting"":""USD"",""startup_time_bucket_ms"":""1000-2000"",""feature_flags"":[""new_checkout"",""tax_inclusive""],""last_update_prompt_at"":null,""last_update_installed_at"":null,""crash_count"":1,""internet_status"":true,""app_launched_count"":2}",2026-04-16T08:46:21.979198+00:00,,,
493a12f6-bc16-4538-8630-a91f2a9139c8,dcabe96b-5894-4b91-9a0b-3e99811e82d6,app_launch,2026-04-16 09:56:57.190529,"{""type"":""app_launch"",""install_id"":""dcabe96b-5894-4b91-9a0b-3e99811e82d6"",""app_version"":""1.3.2"",""timestamp"":""2026-04-16T09:56:56.6240378Z"",""windows_version"":""Microsoft Windows 10.0.26100"",""os_architecture"":""X64"",""dotnet_runtime_version"":"".NET 8.0.26"",""ram_bucket"":""16-32GB"",""cpu_core_bucket"":""5-8 Cores"",""screen_resolution_bucket"":""1366x768"",""build_number"":""1200"",""release_channel"":""production"",""first_run_at"":""2026-04-15T20:45:54.2781483Z"",""last_seen_at"":""2026-04-16T09:56:56.6261681Z"",""days_since_install"":""1"",""days_since_last_seen"":""0"",""country_setting"":""EG"",""currency_setting"":""USD"",""startup_time_bucket_ms"":""1000-2000"",""feature_flags"":[""new_checkout"",""tax_inclusive""],""last_update_prompt_at"":null,""last_update_installed_at"":null,""crash_count"":1,""internet_status"":true,""app_launched_count"":4}",2026-04-16T09:56:57.212409+00:00,,,
d81941f2-5a92-4f8e-a0e3-754a824e5c64,1da14a02-df07-458d-8f18-2572964c2ca0,app_close,2026-04-20 01:40:32.031610,"{""type"":""app_close"",""reason"":""window_closed"",""app_version"":""1.3.2"",""timestamp"":""2026-04-20T01:40:32.0301666Z""}",2026-04-20T01:40:32.039473+00:00,,,
309a3d8e-6f40-48cc-a1c1-2bb51d017800,1da14a02-df07-458d-8f18-2572964c2ca0,app_launch,2026-04-20 01:40:47.054536,"{""type"":""app_launch"",""install_id"":""1da14a02-df07-458d-8f18-2572964c2ca0"",""app_version"":""1.3.2"",""timestamp"":""2026-04-20T01:40:46.7072144Z"",""windows_version"":""Microsoft Windows 10.0.26200"",""os_architecture"":""X64"",""dotnet_runtime_version"":"".NET 8.0.19"",""ram_bucket"":""8-16GB"",""cpu_core_bucket"":""9-16 Cores"",""screen_resolution_bucket"":""1920x1080"",""build_number"":""1200"",""release_channel"":""production"",""first_run_at"":""2026-04-20T01:39:22.1593776Z"",""last_seen_at"":""2026-04-20T01:40:46.7082346Z"",""days_since_install"":""0"",""days_since_last_seen"":""0"",""country_setting"":""PH"",""currency_setting"":""PHP"",""startup_time_bucket_ms"":""1000-2000"",""feature_flags"":[""new_checkout"",""tax_inclusive""],""last_update_prompt_at"":null,""last_update_installed_at"":null,""crash_count"":0,""internet_status"":true,""app_launched_count"":2}",2026-04-20T01:40:47.066068+00:00,,,
25fa13c2-5ace-4b3d-bde8-a7fab31ca22d,c4b970d9-1121-4056-bda7-b85c2e6453fd,app_close,2026-04-20 04:16:34.229988,"{""type"":""app_close"",""reason"":""window_closed"",""app_version"":""1.3.2"",""timestamp"":""2026-04-20T04:16:34.2279553Z""}",2026-04-20T04:16:34.238206+00:00,,,
